epoch,acc,loss,val_acc,val_loss
0,0.1669642857142857,13.346020344325474,0.26145833333333335,11.903885078430175
1,0.209375,12.653935023716517,0.259375,11.937464459737141
2,0.2044642857142857,12.741683469499861,0.221875,12.52509724299113
3,0.21339285714285713,12.569292940412248,0.3614583333333333,9.84708480834961
4,0.2767857142857143,11.600889737265451,0.33958333333333335,10.561622206370036
5,0.32455357142857144,10.77198074204581,0.3770833333333333,9.971214660008748
6,0.3830357142857143,9.638622209003993,0.47708333333333336,8.124240032831828
7,0.48660714285714285,6.660794649805341,0.6041666666666666,1.225369526942571
8,0.6709821428571429,0.9480078288487026,0.8489583333333334,0.5697841554880142
9,0.8241071428571428,0.4878746782030378,0.9052083333333333,0.30263370225826897
10,0.8736607142857142,0.35615827622158186,0.9427083333333334,0.2519174781938394
11,0.9022321428571428,0.26981675550341605,0.9552083333333333,0.17068574925263721
12,0.9165178571428572,0.24558237940073013,0.95,0.16564735422531765
13,0.9339285714285714,0.19098673941833633,0.9666666666666667,0.12140332323809465
14,0.9513392857142857,0.1544370323153479,0.9677083333333333,0.11914161946624517
15,0.9433035714285715,0.15090905207076244,0.9739583333333334,0.1036360046826303
16,0.9486607142857143,0.1309978511583592,0.975,0.09942502124855916
17,0.95625,0.11377868129472647,0.9770833333333333,0.06692969513436159
18,0.9714285714285714,0.0884904170674937,0.978125,0.07582377182940642
19,0.9651785714285714,0.097969969854291,0.9770833333333333,0.07180835117275516
20,0.971875,0.0818253442645073,0.978125,0.07896332577802241
21,0.9691964285714286,0.09387699457583949,0.9791666666666666,0.06296368918071191
22,0.9741071428571428,0.08329235619998404,0.9791666666666666,0.06467080169823021
23,0.9754464285714286,0.06391463032923639,0.984375,0.06136187717008094
24,0.9834821428571429,0.05373264853509941,0.9833333333333333,0.06574275319774946
25,0.975,0.06088663477317563,0.9854166666666667,0.038307405565865336
26,0.9803571428571428,0.054564745800702696,0.9854166666666667,0.048053853772580625
27,0.9794642857142857,0.057460194140938774,0.9864583333333333,0.049115916935261336
28,0.9790178571428572,0.059632769195429446,0.984375,0.05452501821564511
29,0.9772321428571429,0.053186566472452665,0.9854166666666667,0.05461465754779056
